date,venue,style,designer,url,attack_url
2019-12-15,Patapsco - Avalon,Classic,Boris Granovskiy,,
2019-12-08,Mason Neck,Classic,Aaron Linville,,
2019-11-24,Hemlock Overlook,Classic,Andrew Komm,,
2019-11-17,Patuxent River,Stumble,Matt Stout,,http://www.attackpoint.org/eventdetail.jsp/event_45864
2019-11-10,Balls Bluff,Classic,Patrick Farley,,http://www.attackpoint.org/eventdetail.jsp/event_45863
2019-10-27,Great Falls,Classic,Nadim Ahmed,,http://www.attackpoint.org/eventdetail.jsp/event_45862
2019-10-13,Gunston Hall,Classic,Keg Good,,
2019-09-29,Swanson Road,Classic,Craig Shelden,,
2019-09-21,Occoquan,Classic,Sidney Sachs,,
2019-09-15,Fountainhead - East,Classic,Charles Carrick,,
2019-09-08,Cunningham Falls,Classic,Sam Listwak,,
2019-09-07,Pohick Bay,Beginner,David Onkst,,
2019-07-20,Wheaton,Beginner,David Onkst,,
2019-06-02,Jug Bay,Chase,Craig Shelden,,
2019-05-19,Pohick Bay,Classic,Keg Good,,
2019-05-05,Gunston Hall,Classic,Sidney Sachs,,
2019-04-28,Lake Needwood,Classic,Michael Dickey,,
2019-04-20,Manassas,Classic,Gavin Wiese,,
2019-03-30,Rosaryville,Classic,Michael Dickey,,
2019-03-24,Patapsco - Avalon,Classic,Kim Jepsen,,
2019-03-16,Prince William - Happyland,Night,Gary Smith,https://www.qocweb.org/events/2019/3/16/pwf-nighto/results,http://www.attackpoint.org/eventdetail.jsp/event_42967
2019-03-10,Mason Neck,Classic,Ken Walker Jr,,
2019-03-03,Cabin John,Classic,Don Fish,,
2019-02-17,Wheaton,Classic,Chris Gross,,
2019-02-02,Hemlock Overlook,Bumble,David Onkst,,http://www.attackpoint.org/eventdetail.jsp/event_42681
2019-01-27,Patapsco - Catonsville,Classic,Ted Good,,
2019-01-06,Fountainhead - West,Classic,Victor Lin,,
2018-12-09,Smokey Glen,Classic,Nadim Ahmed,,
2018-12-02,Prince William - Pine Grove,Classic,Mark Hicks,,
2018-12-01,Little Bennett,Classic,Boris Granovskiy,,
2018-11-11,Great Falls,Classic,Sam Listwak,,
2018-11-04,Quantico - Hangman,Classic,Daniel Heimgartner,,
2018-11-03,Fountainhead - Central,Classic,Francis Hogle,,
2018-10-21,Balls Bluff,Classic,Tom Strat,,
2018-10-07,Patuxent River,Classic,Craig Shelden,,
2018-09-16,Occoquan,Classic,Charles Carrick,,
2018-09-08,Pohick Bay,Beginner,David Onkst,,
2018-07-14,Wheaton,Beginner,David Onkst,,
2018-06-10,Cunningham Falls,Classic,Jon Torrance,,
2018-06-03,Jug Bay,Chase,Craig Shelden,,
2018-05-20,Fountainhead - West,Classic,Vido Aleksiev,,
2018-05-13,Lake Needwood,Classic,Peggy Dickison,,
2018-05-06,Pohick Bay,Classic,Alexis Merka,,
2018-04-29,Rosaryville,Classic,Russ Damtoft,,
2018-04-21,Patapsco - Granite,Classic,Mark Mace,,
2018-04-15,Mason Neck,Classic,Jon Torrance,,
2018-04-08,Gunston Hall,Classic,Ken Walker Jr,,
2018-03-25,Patapsco - Avalon,Classic,Alexis Merka,,
2018-03-18,Manassas,Classic,Vido Aleksiev,,
2018-03-11,Wheaton,Classic,Nadim Ahmed,,http://www.attackpoint.org/eventdetail.jsp/event_38787
2018-03-04,Little Bennett,Classic,Sam Listwak,,
2018-02-11,Clopper Lake,Classic,Michael Dickey,,
2018-02-03,Patapsco - Catonsville,Bumble,David Onkst,,
2018-01-28,Fountainhead - West,Classic,Daniel Heimgartner,,
2018-01-21,Patapsco - McKeldin,Classic,Kim Jepsen,,
2018-01-07,Greenbelt,Classic,Victor Lin,,
2017-12-16,Cabin John,Classic,Michael Dickey,,
2017-11-19,Great Falls,Classic,Sam Listwak,,
2017-10-29,Prince William - Pine Grove,Classic,Nadim Ahmed,,
2017-10-15,Patuxent River,Classic,Craig Shelden,,
2017-09-24,Swanson Road,Classic,Craig Shelden,,
2017-09-17,Hemlock Overlook,Classic,Tom Nolan,,
2017-08-05,Mason Neck,Beginner,David Onkst,,
2017-07-30,Wheaton,Beginner,David Onkst,,
2017-06-04,Jug Bay,Chase,Peggy Dickison,,
2017-05-20,Fountainhead - West,Classic,Keg Good,,
2017-05-14,Rosaryville,Classic,Tom Nolan,,
2017-05-06,Patapsco - Granite,Classic,Kim Jepsen,,
2017-04-30,Mason Neck,Classic,Sidney Sachs,,
2017-04-23,Clopper Lake,Classic,Nadim Ahmed,,
2017-04-16,Cunningham Falls,Classic,Jon Torrance,,
2017-04-09,Lake Needwood,Classic,Russ Damtoft,,
2017-04-02,Gunston Hall,Classic,Gary Smith,,
2017-03-26,Patapsco - McKeldin,Classic,Alexis Merka,,
2017-03-19,Wheaton,Classic,Mihai Sirbu,,
2017-03-11,Prince William - Happyland,Night,Ken Walker Jr,https://www.qocweb.org/events/2017/3/11/pwf-happyland/results,http://www.attackpoint.org/eventdetail.jsp/event_34105
2017-02-26,Patapsco - Avalon,Classic,Ted Good,,
2017-02-12,Pohick Bay,Classic,Hannah Culberg,,
2017-02-04,Lake Frank,Bumble,David Onkst,,http://www.attackpoint.org/eventdetail.jsp/event_34766
2017-01-29,Prince William - Pine Grove,Classic,Vido Aleksiev,,
2017-01-22,Greenbelt,Classic,Chris Gross,,
2017-01-08,Little Bennett,Classic,Sam Listwak,,
2017-01-07,Little Bennett,Night,Sam Listwak,,
2016-12-18,Swanson Road,Classic,Craig Shelden,,
2016-12-11,Balls Bluff,Classic,Daniel Heimgartner,,
2016-12-04,Patapsco - Catonsville,Classic,Victor Lin,,
2016-11-13,Prince William - Williams,Stumble,Mark Hicks,,http://www.attackpoint.org/eventdetail.jsp/event_34055
2016-11-06,Great Falls,Classic,Nadim Ahmed,,http://www.attackpoint.org/eventdetail.jsp/event_34054
2016-10-30,Hemlock Overlook,Classic,Jon Torrance,,http://www.attackpoint.org/eventdetail.jsp/event_34053
2016-10-29,Hemlock Overlook,Night,Jon Torrance,,http://www.attackpoint.org/eventdetail.jsp/event_34053
2016-10-23,Patuxent River,Goat,Nadim Ahmed,,http://www.attackpoint.org/eventdetail.jsp/event_34768
